Manager	Company
Richard C. Notebaert	Cardinal Health
Richard C. Notebaert	Qwest Communications
Richard D. McCormick	United Technologies
Richard D. McCormick	Unocal
Richard D. McCormick	Wells Fargo
Richard D. Parsons	Citigroup
Richard D. Parsons	Estée Lauder
Richard D. Parsons	Time Warner Inc.
Richard de J. Osborne	Goodrich
Richard de J. Osborne	Schering-Plough
Richard F. Syron	Freddie Mac
Richard F. Syron	John Hancock Financial Services
Richard F. Syron	McKesson
Richard G. Lesser	Reebok International
Richard G. Lesser	TJX
Richard H. Anderson	Medtronic
Richard H. Anderson	Northwest Airlines
Richard H. Brown	DuPont
Richard H. Brown	Home Depot
Richard H. Lenny	Hershey Foods
Richard H. Lenny	Sunoco
Richard J. Kogan	Bank of New York Co.
Richard J. Kogan	Colgate-Palmolive
Richard K. Davidson	Kroger
Richard K. Davidson	Union Pacific
Richard K. Lochridge	Dover
Richard K. Lochridge	Lowes
Richard L. Carrión	Verizon Communications
Richard L. Carrión	Wyeth
Richard L. Keyser	Principal Financial
Richard L. Keyser	Rohm & Haas
Richard L. Keyser	W.W. Grainger
Richard L. Thomas	Exelon
Richard L. Thomas	Sara Lee
Richard M. Ferry	Avery Dennison
Richard M. Ferry	Dole Food
Richard M. Ferry	Pacific LifeCorp
Richard M. Kovacevich	Target
Richard M. Kovacevich	Wells Fargo
Richard W. Hanselman	ArvinMeritor
Richard W. Hanselman	Health Net
Robert A. Cornog	Johnson Controls
Robert A. Cornog	Wisconsin Energy
Robert A. Eckert	Mattel
Robert A. Eckert	McDonalds
Robert A. Essner	Mass. Mutual Life Ins.
Robert A. Essner	Wyeth
Robert A. Ingram	Lowes
Robert A. Ingram	Wachovia Corp.
Robert C. McCormack	Illinois Tool Works
Robert C. McCormack	MeadWestvaco
Robert C. Nakasone	Staples
Robert C. Nakasone	Tenet Healthcare
Robert Charles Clark	Collins & Aikman
Robert Charles Clark	Omnicom Group
Robert D. Kennedy	International Paper
Robert D. Kennedy	Sunoco
Robert D. Storey	Procter & Gamble
Robert D. Storey	Verizon Communications
Robert D. Walter	American Express
Robert D. Walter	Cardinal Health
Robert D. Walter	Viacom
Robert E. Allen	Bristol-Myers Squibb
Robert E. Allen	PepsiCo
Robert E. Rubin	Citigroup
Robert E. Rubin	Ford Motor
Robert E. Weissman	Pitney Bowes
Robert E. Weissman	State Street Corp.
Robert G. Miller	Harrahs Entertainment
Robert G. Miller	Pathmark Stores
Robert G. Miller	Rite Aid
Robert H. Campbell	Cigna
Robert H. Campbell	Hershey Foods
Robert H. Jenkins	AK Steel Holding
Robert H. Jenkins	Visteon
Robert Holland, Jr.	Lexmark International
Robert Holland, Jr.	Yum Brands
Robert I. Lipp	Bank One Corp.
Robert I. Lipp	St. Paul Travelers
Robert J. Brown	AutoNation
Robert J. Brown	Duke Energy
Robert J. Brown	Wachovia Corp.
Robert J. Darnall	Cummins
Robert J. Darnall	Household International
Robert J. Darnall	United States Steel
Robert J. Eaton	ChevronTexaco
Robert J. Eaton	International Paper
Robert J. Fisher	Gap
Robert J. Fisher	Sun Microsystems
Robert J. Herbold	Agilent Technologies
Robert J. Herbold	Weyerhaeuser
Robert J. Tarr, Jr.	John Hancock Financial Services
Robert J. Tarr, Jr.	Wesco International
Robert J. Ulrich	Target
Robert J. Ulrich	Yum Brands
Robert L. Barnett	Johnson Controls
Robert L. Barnett	USG
Robert L. Burrus, Jr.	CSX
Robert L. Burrus, Jr.	Smithfield Foods
Robert L. Friedman	American Axle & Mfg.
Robert L. Friedman	Northwest Airlines
Robert L. Friedman	Premcor
Robert L. Johnson	General Mills
Robert L. Johnson	Hilton Hotels
Robert L. Johnson	US Airways Group
Robert L. Joss	Agilent Technologies
Robert L. Joss	Wells Fargo
Robert L. Nardelli	Coca-Cola
Robert L. Nardelli	Home Depot
Robert L. Ryan	Brunswick
Robert L. Ryan	UnitedHealth Group
Robert M. Baylis	Host Marriott
Robert M. Baylis	New York Life Insurance
Robert M. Teeter	United Parcel Service
Robert M. Teeter	Visteon
Robert Mehrabian	Mellon Financial Corp.
Robert Mehrabian	PPG Industries
Robert N. Burt	Pfizer
Robert N. Burt	Phelps Dodge
Robert N. Pokelwaldt	FirstEnergy
Robert N. Pokelwaldt	Mohawk Industries
Robert N. Wilson	Amerada Hess
Robert N. Wilson	Charles Schwab
Robert S. Miller, Jr.	Federal-Mogul
Robert S. Miller, Jr.	R.J. Reynolds Tobacco
Robert S. Miller, Jr.	UAL
Robert S. Miller, Jr.	Waste Management
Robert S. Morrison	3M
Robert S. Morrison	Aon
Robert S. Morrison	Illinois Tool Works
Robert S. Morrison	Tribune
Robert W. Goldman	El Paso
Robert W. Goldman	Tesoro Petroleum
Robert W. Matschullat	Clorox
Robert W. Matschullat	McKesson
Robert W. Matschullat	Walt Disney
Roger A. Enrico	Electronic Data Systems
Roger A. Enrico	Target
Roger G. Ackerman	Mass. Mutual Life Ins.
Roger G. Ackerman	Pittston
Roger S. Penske	Delphi
Roger S. Penske	General Electric
Roger S. Penske	Home Depot
Roger S. Penske	United Auto Group
Roger W. Hale	Ashland
Roger W. Hale	H&R Block
Roger W. Sant	AES
Roger W. Sant	Marriott International
Roger W. Stone	Autoliv
Roger W. Stone	McDonalds
Roland Hernandez	MGM Mirage
Roland Hernandez	Wal-Mart Stores
Ronald A. Williams	Aetna
Ronald A. Williams	Lucent Technologies
Ronald E. Ferguson	Colgate-Palmolive
Ronald E. Ferguson	Hartford Fin. Services
Ronald L. Kuehn, Jr.	AmSouth Bancorp.
Ronald L. Kuehn, Jr.	El Paso
Ronald L. Kuehn, Jr.	Praxair
Ronald L. Olson	Berkshire Hathaway
Ronald L. Olson	Edison International
Ronald L. Sargent	Aramark
Ronald L. Sargent	Mattel
Ronald L. Sargent	Staples
Ronald L. Skates	Raytheon
Ronald L. Skates	State Street Corp.
Ronald Townsend	Alltel
Ronald Townsend	Bank of America Corp.
Ronald Townsend	Winn-Dixie Stores
Ronald W. Burkle	KB Home
Ronald W. Burkle	Occidental Petroleum
Rosemarie B. Greco	Exelon
Rosemarie B. Greco	Sunoco
Roxanne S. Austin	Abbott Laboratories
Roxanne S. Austin	Target
Roy S. Roberts	Abbott Laboratories
Roy S. Roberts	Burlington Northern Santa Fe
Roy W. Haley	United Stationers
Roy W. Haley	Wesco International
Rozanne L. Ridgway	3M
Rozanne L. Ridgway	Boeing
Rozanne L. Ridgway	Emerson Electric
Rozanne L. Ridgway	Manpower
Rozanne L. Ridgway	Sara Lee
Russell E. Palmer	Honeywell Intl.
Russell E. Palmer	May Dept. Stores
Russell E. Palmer	Verizon Communications
Ruth J. Simmons	Goldman Sachs Group
Ruth J. Simmons	Pfizer
Ruth J. Simmons	Texas Instruments
Ruth M. Owades	Armstrong Holdings
Ruth M. Owades	Providian Financial
S. Jay Stewart	Autoliv
S. Jay Stewart	Household International
Sam Ginn	ChevronTexaco
Sam Ginn	Hewlett-Packard
Samir G. Gibara	Goodyear Tire & Rubber
Samir G. Gibara	International Paper
Samuel A. Nunn, Jr.	ChevronTexaco
Samuel A. Nunn, Jr.	Coca-Cola
Samuel A. Nunn, Jr.	Dell Computer
Samuel A. Nunn, Jr.	General Electric
Samuel C. Scott, III	Bank of New York Co.
Samuel C. Scott, III	Motorola
Samuel O. Their	Merck
Samuel O. Their	TIAA-CREF
Sandra L. Helton	Principal Financial
Sandra L. Helton	Telephone & Data Sys.
Sandra O. Moose	Rohm & Haas
Sandra O. Moose	Verizon Communications
Sanford Cloud, Jr.	Northeast Utilities
Sanford Cloud, Jr.	Tenet Healthcare
Sanford M. Litvack	Hewlett-Packard
Sanford M. Litvack	PacifiCare Health Sys.
Sara Levinson	Federated Dept. Stores
Sara Levinson	Harley-Davidson
Seth E. Schofield	Marathon Oil
Seth E. Schofield	United States Steel
Seymour Sternberg	Express Scripts
Seymour Sternberg	New York Life Insurance
Sheila P. Burke	Chubb
Sheila P. Burke	WellPoint Health Networks
Sheli Z. Rosenberg	Cendant
Sheli Z. Rosenberg	CVS
Sheli Z. Rosenberg	Equity Office Properties
Shirley Ann Jackson Ph.D.	AT&T
Shirley Ann Jackson Ph.D.	FedEx
Shirley Ann Jackson Ph.D.	Marathon Oil
Shirley Ann Jackson Ph.D.	Medtronic
Shirley Ann Jackson Ph.D.	Public Service Enterprise Group
Shirley Ann Jackson Ph.D.	United States Steel
Shirley D. Peterson	AK Steel Holding
Shirley D. Peterson	Federal-Mogul
Sidney Taurel	Eli Lilly
Sidney Taurel	Intl. Business Machines
Sidney Taurel	McGraw-Hill
Sir Winfried F. W. Bischoff	Eli Lilly
Sir Winfried F. W. Bischoff	McGraw-Hill
Solomon D. Trujillo	Gannett
Solomon D. Trujillo	PepsiCo
Solomon D. Trujillo	Target
Southwood J. Morcott	CSX
Southwood J. Morcott	Johnson Controls
Southwood J. Morcott	Navistar International
Stanley C. Gault	Avon Products
Stanley C. Gault	Wal-Mart Stores
Stanley O. Ikenberry	Pfizer
Stanley O. Ikenberry	TIAA-CREF
Stephen F. Bollenbach	Caesars Entertainment, Inc.
Stephen F. Bollenbach	Hilton Hotels
Stephen F. Bollenbach	Time Warner Inc.
Stephen F. Page	Liberty Mutual Insurance Group
Stephen F. Page	Lowes
Stephen F. Page	United Technologies
Stephen I. Chazen	Lyondell Chemical
Stephen I. Chazen	Premcor
Stephen L. Baum	Computer Sciences
Stephen L. Baum	Sempra Energy
Stephen M. Wolf	Altria Group
Stephen M. Wolf	R.R. Donnelley & Sons
Stephen R. Demeritt	Eastman Chemical
Stephen R. Demeritt	General Mills
Stephen R. Hardis	Lexmark International
Stephen R. Hardis	Marsh & McLennan
Stephen R. Hardis	Progressive
Stephen W. Sanger	General Mills
Stephen W. Sanger	Target
Stephen W. Sanger	Wells Fargo
Steven A. Burd	Kohls
Steven A. Burd	Safeway
Steven A. Minter	Goodyear Tire & Rubber
Steven A. Minter	KeyCorp
Steven C. Beering, M.D., Sc.D., F.A.C.P.	Eli Lilly
Steven C. Beering, M.D., Sc.D., F.A.C.P.	NiSource
Steven F. Goldstone	American Standard
Steven F. Goldstone	ConAgra Foods
Steven L. Miller	Applied Materials
Steven L. Miller	Reliant Resources
Steven R. Rogel	Kroger
Steven R. Rogel	Union Pacific
Steven R. Rogel	Weyerhaeuser
Steven S Reinemund	Johnson & Johnson
Steven S Reinemund	PepsiCo
Summerfield K. Johnston, Jr.	Coca-Cola Enterprises
Summerfield K. Johnston, Jr.	SunTrust Banks
Susan B. King	Coca-Cola
Susan B. King	Guidant
Susan E. Engel	Supervalu
Susan E. Engel	Wells Fargo
Susan J. Kropf	Avon Products
Susan J. Kropf	MeadWestvaco
Susan J. Kropf	Sherwin-Williams
Susan M. Phillips	Kroger
Susan M. Phillips	State Farm Insurance Cos
T. M. Solso	Ashland
T. M. Solso	Ball
T. M. Solso	Cummins
Terence C. Golden	Host Marriott
Terence C. Golden	Pepco Holdings
Terence E. Adderley	DTE Energy
Terence E. Adderley	Kelly Services
Teresa Beck	Albertsons
Teresa Beck	Lexmark International
Teresa Beck	Textron
Terrence Murray	Air Products
Terrence Murray	CVS
Terrence Murray	FleetBoston Financial
Terry N. Christensen	Fidelity National Financial
Terry N. Christensen	MGM Mirage
Thomas A. Renyi	Bank of New York Co.
Thomas A. Renyi	Public Service Enterprise Group
Thomas C. Sutton	Edison International
Thomas C. Sutton	Pacific LifeCorp
Thomas E. Clarke	Newell Rubbermaid
Thomas E. Clarke	Nike
Thomas E. Petry	Cinergy
Thomas E. Petry	U.S. Bancorp
Thomas F. Frist, Jr., M.D.	HCA
Thomas F. Frist, Jr., M.D.	Triad Hospitals
Thomas H. Cruikshank	Lehman Brothers Hldgs.
Thomas H. Cruikshank	Williams Companies, Inc.
Thomas H. Kean	Amerada Hess
Thomas H. Kean	Aramark
Thomas H. Kean	CIT Group
Thomas H. Kean	Pepsi Bottling
Thomas H. Kean	UnitedHealth Group
Thomas H. OBrien	PNC Financial Svcs. Group
Thomas H. OBrien	Verizon Communications
Thomas J. Donohue	Qwest Communications
Thomas J. Donohue	Union Pacific
Thomas J. Engibous	J.C. Penney
Thomas J. Engibous	Texas Instruments
Thomas J. Falk	Centex
Thomas J. Falk	Kimberly-Clark
Thomas J. May	FleetBoston Financial
Thomas J. May	Liberty Mutual Insurance Group
Thomas J. Usher	H.J. Heinz
Thomas J. Usher	Marathon Oil
Thomas J. Usher	PNC Financial Svcs. Group
Thomas J. Usher	PPG Industries
Thomas O. Ryder	Amazon.Com
Thomas O. Ryder	Starwood Hotels & Restaurants
Thomas P. Gerrity	CVS
Thomas P. Gerrity	Fannie Mae
Thomas P. Gerrity	Sunoco
Thomas R. Gibson	Asbury Automotive Group
Thomas R. Gibson	Ikon Office Solutions
Thomas Ryan	CVS
Thomas Ryan	FleetBoston Financial
Thomas Ryan	Reebok International
Thomas Ryan	Yum Brands
Thomas T. Stallkamp	Baxter International
Thomas T. Stallkamp	Visteon
Thomas W. Jones	Altria Group
Thomas W. Jones	Freddie Mac
Timothy M. Donahue	Eastman Kodak
Timothy M. Donahue	Nextel Communications
Tully M. Friedman	Clorox
Tully M. Friedman	Mattel
Ursula F. Fairbairn	Air Products
Ursula F. Fairbairn	Sunoco
Ursula F. Fairbairn	VF
Van B. Honeycutt	Computer Sciences
Van B. Honeycutt	Tenet Healthcare
Vance D. Coffman	3M
Vance D. Coffman	Bristol-Myers Squibb
Vance D. Coffman	Lockheed Martin
Verne G. Istock	Kelly Services
Verne G. Istock	Masco
Verne G. Istock	Rockwell Automation
Vernon E. Jordan, Jr.	American Express
Vernon E. Jordan, Jr.	Asbury Automotive Group
Vernon E. Jordan, Jr.	J.C. Penney
Vernon E. Jordan, Jr.	Sara Lee
Vernon E. Jordan, Jr.	Xerox
Vernon R. Loucks, Jr.	Anheuser-Busch
Vernon R. Loucks, Jr.	Emerson Electric
Vice Admiral John R. Ryan	Cablevision Systems
Vice Admiral John R. Ryan	CIT Group
Victor A. Pelson	Eaton
Victor A. Pelson	United Parcel Service
Victor L. Lund	Borders Group
Victor L. Lund	NCR
Victoria F. Haynes	Nucor
Victoria F. Haynes	PPG Industries
Vilma S. Martinez	Anheuser-Busch
Vilma S. Martinez	Burlington Northern Santa Fe
Vilma S. Martinez	Fluor
Vincent Tese	Bear Stearns
Vincent Tese	Cablevision Systems
W. Alan McCollough	Circuit City Stores
W. Alan McCollough	VF
W. Ann Reynolds, Ph.D.	Abbott Laboratories
W. Ann Reynolds, Ph.D.	Humana
W. Ann Reynolds, Ph.D.	Maytag
W. Ann Reynolds, Ph.D.	Owens Corning
W. Don Cornwell	Avon Products
W. Don Cornwell	CVS
W. Don Cornwell	Pfizer
W. Douglas Ford	Air Products
W. Douglas Ford	UAL
W. Douglas Ford	USG
W. Frank Blount	Caterpillar
W. Frank Blount	Entergy
W. G. Jurgensen	ConAgra Foods
W. G. Jurgensen	Nationwide
W. James Farrell	Allstate
W. James Farrell	Illinois Tool Works
W. James Farrell	Sears Roebuck
W. James Farrell	UAL
W. James McNerney, Jr.	3M
W. James McNerney, Jr.	Boeing
W. James McNerney, Jr.	Procter & Gamble
W. Thomas Stephens	Qwest Communications
W. Thomas Stephens	Xcel Energy
Walter Scott, Jr	Berkshire Hathaway
Walter Scott, Jr	Burlington Resources
Walter Scott, Jr	Level 3 Communications
Walter Scott, Jr	Peter Kiewit Sons
Walter V. Shipley	Exxon Mobil
Walter V. Shipley	Verizon Communications
Walter V. Shipley	Wyeth
Warren A. Stephens	Alltel
Warren A. Stephens	Dillards
Warren B. Rudman	Allied Waste Industries
Warren B. Rudman	Chubb
Warren B. Rudman	Collins & Aikman
Warren B. Rudman	Raytheon
Warren E. Buffett	Berkshire Hathaway
Warren E. Buffett	Coca-Cola
Warren R. Staley	Target
Warren R. Staley	U.S. Bancorp
Wayne A. Budd	McKesson
Wayne A. Budd	Premcor
Wayne R. Sanders	Adolph Coors
Wayne R. Sanders	Texas Instruments
Wesley W. von Schack	Energy East
Wesley W. von Schack	Mellon Financial Corp.
Wilbur H. Gantz	Gillette
Wilbur H. Gantz	W.W. Grainger
William A. Osborn	Caterpillar
William A. Osborn	Tribune
William B. Harrison, Jr.	J.P. Morgan Chase
William B. Harrison, Jr.	Merck
William C. Crowley	AutoNation
William C. Crowley	Kmart Holding
William C. Foote	USG
William C. Foote	Walgreen
William C. Richardson	Bank of New York Co.
William C. Richardson	Kellogg
William C. Steere, Jr.	MetLife
William C. Steere, Jr.	Pfizer
William D. Perez	Kellogg
William D. Perez	May Dept. Stores
William D. Ruckelshaus	Cummins
William D. Ruckelshaus	Nordstrom
William D. Ruckelshaus	Weyerhaeuser
William D. Smithburg	Abbott Laboratories
William D. Smithburg	Corning
William D. Smithburg	Smurfit-Stone Container
William Dillard II	Barnes & Noble
William Dillard II	Dillards
William E. Bradford	Kerr-McGee
William E. Bradford	Valero Energy
William E. Kennard	New York Times
William E. Kennard	Nextel Communications
William F. Aldinger	AT&T
William F. Aldinger	Household International
William F. Aldinger	Illinois Tool Works
William G. Bowen	American Express
William G. Bowen	Merck
William G. Bowen	TIAA-CREF
William G. Reed, Jr.	Microsoft
William G. Reed, Jr.	Paccar
William G. Reed, Jr.	Safeco
William G. Reed, Jr.	Washington Mutual
William H. Cunningham	Jefferson-Pilot
William H. Cunningham	Southwest Airlines
William H. Gates III	Costco Wholesale
William H. Gates III	Microsoft
William H. Gray, III	Dell Computer
William H. Gray, III	Electronic Data Systems
William H. Gray, III	J.P. Morgan Chase
William H. Gray, III	Pfizer
William H. Gray, III	Prudential Financial
William H. Gray, III	Rockwell Automation
William H. Gray, III	Viacom
William H. Gray, III	Visteon
William J. Avery	Lincoln National
William J. Avery	Rohm & Haas
William J. Johnson	Devon Energy
William J. Johnson	Tesoro Petroleum
William K. Reilly	ConocoPhillips
William K. Reilly	DuPont
William L. Jews	Ecolab
William L. Jews	MBNA
William P. Rutledge	Computer Sciences
William P. Rutledge	Sempra Energy
William P. Stiritz	Ball
William P. Stiritz	May Dept. Stores
William Porter Payne	Anheuser-Busch
William Porter Payne	Jefferson-Pilot
William R. Howell	American Electric Power
William R. Howell	Exxon Mobil
William R. Howell	Halliburton
William R. Howell	Pfizer
William R. Howell	Williams Companies, Inc.
William R. Johnson	Clorox
William R. Johnson	H.J. Heinz
William S. Davila	Home Depot
William S. Davila	Hormel Foods
William S. Davila	PG&E Corp.
William S. Stavropoulos	BellSouth
William S. Stavropoulos	Dow Chemical
William S. Stavropoulos	NCR
William T. Esrey	Duke Energy
William T. Esrey	General Mills
William T. Kerr	Maytag
William T. Kerr	Principal Financial
William U. Parfet	CMS Energy
William U. Parfet	Stryker
William V. Hickey	Public Service Enterprise Group
William V. Hickey	Sealed Air
William W. Bradley	Eastman Kodak
William W. Bradley	Starbucks
William W. George	Goldman Sachs Group
William W. George	Target
Willie D. Davis	Dow Chemical
Willie D. Davis	Fidelity National Financial
Willie D. Davis	Johnson Controls
Willie D. Davis	Manpower
Willie D. Davis	MGM Mirage
Willie D. Davis	Sara Lee
Willie D. Davis	Wisconsin Energy
Worley H. Clark	Georgia-Pacific
Worley H. Clark	Merrill Lynch
